name,scientific_name,prot,carb,fat,kcal
Spinach,Spinacia oleracea,2.9,3.6,0.4,29.6
Squab,Columba,17.5,0.0,7.5,137.5
Strawberry,Fragaria X ananassa,0.67,7.68,0.3,36.1
Striped bass,Morone saxatilis,19.0,0.0,3.0,103.0
Sweet potato,Ipomoea batatas,2.0,20.1,0.1,89.3
Tamarind,Tamarindus indica,2.8,62.5,0.6,266.6
Taro,Colocasia esculenta,5.0,6.7,0.11,47.79
Teff,Eragrostis tef,13.3,19.86,0.65,138.49
Turnip,Brassica rapa var. rapa,1.1,4.4,0.2,23.8
Wakame,Undaria pinnatifida,3.03,9.14,0.64,54.44
Walnut,Juglans,15.23,13.71,65.21,702.65
Watercress,Rorippa nasturtium-aquaticum,2.3,1.29,0.1,15.26
Watermelon,Citrullus lanatus,0.61,7.55,0.15,33.99
Wax gourd,Benincasa hispida,0.4,3.0,0.2,15.4
Wheat,Triticum,12.61,71.18,1.54,349.02
Wild rice,Zizania,3.99,21.34,0.34,104.38
Winged bean,Psophocarpus tetragonolobus,29.65,41.7,16.3,432.1
Winter squash,Cucurbita maxima,0.95,8.59,0.13,39.33
